Institución Educativa Distrital -IED;Deporte;Sexo;Edad (años cumplidos);Peso (kg);Talla (cm);Talla Sentado (cm);Envergadura (cm);Balón Medicinal;Salto Largo;10 x 5 (s);30 m lanzados (s);Wells;Leger;Velocidad Máxima (Course Navette - km h^-1)
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;40;148;77;149;305;113;19.5;7;30;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;53;158;82;158;400;142;17.8;6.2;18;NA;NA
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;46;156;80;153;310;145;19.3;6.5;29;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;53;147;77;146;335;129;19.7;7.1;22;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;51;158;83;157;360;148;17.2;6.2;22;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;51;155;80;153;315;143;19.1;6.4;29;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;52;151;79;152;327;122;18.5;6.3;21;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;49;152;77;151;285;129;17.2;6.9;24;3;9.5
COL CLEMENCIA DE CAYCEDO (IED);AJEDREZ;Mujer;12;47;157;80;155;305;131;18.9;6.9;21;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;47.3;151.1;76.6;157;239;118.3;23.9;6.24;23.5;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;42.1;155.8;81.5;148.7;315;129.4;24.3;7.34;32.4;4;10
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;38.2;153.8;78.7;157.5;334;107.5;21.5;6.31;32;2;9
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;46.1;155.6;79.7;154.8;302;102.3;23.3;7.88;31.5;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Hombre;12;45.5;150.2;78.1;154.8;304;134.9;19.2;5.38;21.2;3;9.5
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;44.7;147.4;76.4;154;268;103.6;20.8;6.47;22.7;4;10
COL EDUARDO SANTOS (IED);AJEDREZ;Mujer;12;54.4;150.8;79.6;154.4;262;107;21.6;5.57;31.4;3;9.5
COL OEA (IED);AJEDREZ;Mujer;12;44.9;158;77;152;320;148;22.03;5.44;24;3;9.5
COL OEA (IED);AJEDREZ;Mujer;12;38.4;152;79;135;155;119;23.8;5.37;36;2;9
COL RAFAEL URIBE URIBE (IED);AJEDREZ;Mujer;12;51.4;147;82;155;207;116;31.09;5.1;26;5;10.5
COL RAFAEL URIBE URIBE (IED);AJEDREZ;Hombre;12;41.9;154;83;148;189;147;31.09;5.1;29;5;10.5
COL RAFAEL URIBE URIBE (IED);AJEDREZ;Hombre;12;34.1;155;71;150;197;166;18.62;4.83;26;6;11
COL ANTONIO NARI√ëO (IED);ATLETISMO;Mujer;12;57.2;150.8;75;159;180;108;25;5.3;23;3;9.5
COL ANTONIO NARI√ëO (IED);ATLETISMO;Hombre;12;41.6;140;73;138;360;145;17.8;6.55;24;5;10.5
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;34.9;137;72;139;280;118;20.9;6.73;23;4;10
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;37.5;159;75;157;380;185;16.5;4.69;18;8;12
COL COLOMBIA VIVA (IED);ATLETISMO;Hombre;12;36.3;147;77;153;300;146;16.8;4.8;21;7;11.5
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;39.9;149;75;144;390;125;19.13;4.87;25;6;11
COL COLOMBIA VIVA (IED);ATLETISMO;Mujer;12;34.6;148;81;145;330;121;19.9;5.93;34;6;11
